generator,mean0_sd_half,minmax,scope
gen_gaussian,Yes,No,Local
gen_unifcube,No,Yes,Global
gen_gridcube,No,Yes,Global
gen_cubic,No,Yes,Global
gen_cone,No,Yes,Global
gen_bluntedcone,No,Yes,Global
gen_rectpyramid,No,Yes,Global
gen_tripyramid,No,Yes,Global
gen_pyrstar,No,Yes,Global
gen_pyrfrac,No,Yes,Global
gen_circle,No,Yes,Global
gen_unifsphere,No,Yes,Global
gen_hollowsphere,No,Yes,Global
gen_clusteredspheres,Yes,No,Local
gen_hemisphere,No,Yes,Global
gen_gridedsphere,No,Yes,Global
gen_scurve,No,Yes,Global
gen_scurvehole,No,Yes,Global
gen_swissroll,No,Yes,Global
gen_crescent,No,Yes,Global
gen_curvycycle,No,Yes,Global
gen_curvycylinder,No,Yes,Global
gen_nonlinear,Yes,No,Local
gen_quadratic,Yes,No,Local
gen_longlinear,Yes,No,Local
gen_helicalspiral,No,Yes,Global
gen_conicspiral,No,Yes,Global
gen_sphericalspiral,No,Yes,Global
gen_trefoil3d,No,Yes,Global
gen_trefoil4d,No,Yes,Global
gen_mobius,No,Yes,Global
gen_linearbranches,Yes,No,Local
gen_curvybranches,Yes,No,Local
gen_expbranches,Yes,No,Local
gen_orglinearbranches,Yes,No,Local
gen_orgcurvybranches,Yes,No,Local
